zip_code,brand,product_name,price,sale_price,snap_eligible
94110,"365 by Whole Foods Market","Organic Salad Kit - Asian Inspired, 12 oz",$5.79,None,True
94110,"Whole Foods Market","Sandwich Tuna Salad Box, 8 Ounce",$6.99,None,True
94110,"Mt. Olive","MOUNT OLIVE Organic Baby Dills, 16 FZ",$5.29,None,True
94110,"Chosen Foods","Chosen Foods 100% Pure Avocado Oil, Keto Diet Friendly, Kosher Oil for Baking, High-Heat Cooking, Frying, Homemade Sauces, Dressings and Marinades (1 liter)",$23.99,None,True
94110,"365 by Whole Foods Market","Two-Bite Vanilla Cupcakes, 10.5 oz, Frozen",$5.99,None,True
94110,"365 by Whole Foods Market","Two-Bite Vanilla Cupcakes, 10.5 oz, Frozen",$5.99,None,True
94110,"Wilburs Of Maine","Wilburs Of Maine Dark Chocolate Cherries, 8 Oz",$8.79,None,True
94110,"365 by Whole Foods Market","Semi-Sweet Chocolate Baking Chips, 12 Ounce",$4.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market, Mini Semi-Sweet Chocolate Baking Chips, 12 Ounce",$4.99,None,True
94110,"HEARTBEAT HOT SAUCE CO.","Heartbeat Hot Sauce Co. | Pineapple Habanero, 6 oz.",0.00,None,False
94110,"Boursin","Boursin Garlic & Fine Herbs Cheese, Artisan fresh cheeses, 5.2 Ounce",$7.49,None,True
94110,"Vermont Creamery","Chèvre, Log, 4 oz",$6.99,None,True
94110,"Whole Foods Market","Organic Goat Cheese Garlic & Herbs, 4 oz",$5.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Cherry Vanilla Creme Soda 12 Pack, 12 FZ",0.00,None,False
94110,"365 by Whole Foods Market","Organic Light Ranch Dressing, 16 Fl Oz",$3.39,None,True
94110,"365 by Whole Foods Market","Organic Spicy Ranch Dressing, 16 oz",$3.39,None,True
94110,"Hidden Valley","Hidden Valley Original Ranch Organic Salad Dressing & Topping, Gluten Free - 16 Ounce Bottle (Package May Vary)",$8.19,None,True
94110,"Frontier Co-op","Simply Organic, Black Peppercorns, 2.65 oz",$7.29,None,True
94110,"365 by Whole Foods Market","Organic Light Ranch Dressing, 16 Fl Oz",$3.39,None,True
94110,"Terra Delyssa","Terra Delyssa Organic Extra Virgin Olive Oil, 25.5 fl oz",$16.99,None,True
